time_us,temp_C,hum_pct,press_hPa,altitude_m,accelX,accelY,accelZ,voltage_V
4847958,25.45,54.63,948.12,556.83,893.55,408.69,22.95,0.00
4908869,25.46,54.96,948.19,556.22,860.35,413.57,5.37,0.00
4966357,25.47,54.81,948.20,556.15,1018.07,402.83,149.41,0.00
5024726,25.46,54.94,948.16,556.45,898.93,366.70,166.50,0.00
5083077,25.47,54.52,948.17,556.38,870.61,370.61,110.35,0.00
5141596,25.47,54.74,948.15,556.31,967.77,321.78,82.03,0.00
5200848,25.47,54.79,948.14,556.38,896.48,436.04,67.38,0.00
5255737,25.46,54.50,948.22,555.98,937.50,408.69,22.46,0.00
5314773,25.46,54.41,948.19,556.22,913.09,440.43,55.66,0.00
5369503,25.46,54.51,948.14,556.69,896.48,373.05,131.35,0.00
5426534,25.47,54.52,948.17,556.38,861.33,434.57,76.66,0.00
5480920,25.46,54.20,948.16,556.53,892.58,447.27,21.97,0.00
5535161,25.45,54.73,948.12,556.83,914.55,440.43,95.70,0.00
5589498,25.47,54.44,948.20,556.15,868.16,427.25,123.54,0.00
5645269,25.47,54.77,948.12,556.86,810.06,454.10,96.68,0.00
5700665,25.46,54.02,948.11,556.93,864.75,440.43,113.28,0.00
5761268,25.45,54.56,948.09,557.07,943.85,439.94,82.03,0.00
5817425,25.47,54.97,948.14,556.62,903.32,449.22,93.26,0.00
5868897,25.45,54.57,948.12,556.83,904.79,476.56,113.28,0.00
5920464,25.46,54.66,948.07,557.24,882.32,473.14,159.18,0.00
5972268,25.47,55.09,948.20,556.15,878.91,402.34,77.64,0.00
6025624,25.46,54.57,948.13,556.76,886.72,459.47,111.82,0.00
6079608,25.47,54.63,948.20,556.15,882.81,453.12,93.26,0.00
6133626,25.46,54.79,948.14,556.69,880.86,431.15,137.70,0.00
6187773,25.47,54.27,948.15,556.55,899.90,449.71,144.53,0.00
6247424,25.47,54.85,948.14,556.62,882.81,463.87,90.33,0.00
6302851,25.47,54.52,948.20,556.15,871.58,478.03,111.82,0.00
6358361,25.46,55.39,948.16,556.53,910.16,421.39,140.62,0.00
6418720,25.46,54.58,948.16,556.53,805.18,552.73,63.48,0.00
6470335,25.46,54.65,948.19,556.22,874.02,436.52,154.30,0.00
6521765,25.47,54.48,948.17,556.38,829.10,413.09,94.73,0.00
6573864,25.46,54.95,948.19,556.22,1018.55,376.95,159.18,0.00
6625507,25.46,54.72,948.16,556.45,906.74,474.61,65.92,0.00
6683639,25.47,55.04,948.17,556.38,849.61,492.19,324.22,0.00
6737937,25.47,54.56,948.18,556.31,832.52,339.84,267.09,0.00
6792094,25.47,54.42,948.20,556.15,893.07,355.96,136.23,0.00
6846895,25.47,54.78,948.17,556.38,946.78,370.12,156.74,0.00
6902301,25.48,54.73,948.16,556.48,988.77,347.66,238.28,0.00
6957751,25.48,54.51,948.21,556.01,925.78,391.11,248.54,0.00
7013332,25.47,54.49,948.18,556.31,950.20,451.66,227.05,0.00
7069510,25.47,54.42,948.18,556.31,903.32,390.62,213.38,0.00
7121015,25.46,54.02,948.14,556.69,874.51,341.31,249.51,0.00
7172468,25.47,54.39,948.21,556.08,947.27,384.77,250.00,0.00
7224301,25.47,54.44,948.15,556.55,922.36,426.76,229.98,0.00
7276981,25.46,54.04,948.19,556.22,898.93,457.03,219.73,0.00
7331345,25.46,53.73,948.16,556.45,900.88,338.38,229.00,0.00
7385361,25.47,54.51,948.20,556.15,873.54,358.89,270.02,0.00
7439531,25.47,54.33,948.18,556.31,896.48,440.92,208.98,0.00
7494599,25.47,54.28,948.15,556.55,844.24,464.36,350.10,0.00
7550019,25.48,53.73,948.13,556.72,841.80,484.37,111.33,0.00
7610527,25.47,53.79,948.18,556.55,892.58,487.79,132.81,0.00
7668851,25.46,53.62,948.18,556.29,878.42,404.30,24.90,0.00
7720296,25.46,54.02,948.13,556.76,935.06,469.24,-2.93,0.00
7772090,25.47,53.64,948.15,556.55,877.93,492.68,-71.78,0.00
7823810,25.46,54.17,948.16,556.45,891.60,446.29,-102.54,0.00
7875427,25.46,54.06,948.11,556.93,806.64,545.90,-276.37,0.00
7929278,25.46,53.80,948.16,556.53,845.21,501.46,-41.50,0.00
7983566,25.46,53.03,948.14,556.69,946.78,409.67,92.29,0.00
8041911,25.47,54.01,948.14,556.62,951.66,353.52,84.96,0.00
8097204,25.45,54.00,948.17,556.43,945.80,453.61,100.10,0.00
8152470,25.45,53.55,948.12,556.83,874.02,355.96,50.29,0.00
8207811,25.45,53.86,948.15,556.60,890.62,414.06,107.91,0.00
8263296,25.45,53.73,948.17,556.36,825.20,460.94,98.14,0.00
8319273,25.46,53.75,948.16,556.53,900.88,430.18,95.21,0.00
8370627,25.45,53.34,948.12,556.83,889.65,445.80,60.06,0.00
8421983,25.45,53.89,948.15,556.60,909.67,447.75,45.41,0.00
8473502,25.46,53.40,948.11,556.93,878.42,441.41,53.71,0.00
8530327,25.46,53.17,948.16,556.53,875.98,414.06,65.43,0.00
8584258,25.45,53.43,948.20,556.12,914.06,429.69,-2.44,0.00
8638262,25.45,53.28,948.14,556.67,915.04,413.09,41.02,0.00
8692336,25.46,53.07,948.11,556.93,891.11,437.99,41.99,0.00
8747537,25.47,53.74,948.12,556.15,932.13,433.11,26.86,0.00
8802862,25.47,53.11,948.17,556.38,898.44,463.87,15.63,0.00
8858506,25.46,53.49,948.18,557.24,893.55,426.27,46.39,0.00
8917085,25.47,53.66,948.14,556.62,939.45,433.59,8.30,0.00
8971424,25.47,53.63,948.15,556.55,890.14,456.05,17.58,0.00
9022881,25.47,52.96,948.18,556.31,892.58,411.62,58.11,0.00
