time_us,temp_C,hum_pct,press_hPa,altitude_m,accelX,accelY,accelZ,voltage_V
4893909,25.30,57.06,948.20,556.14,812.01,158.69,-328.61,0.00
4953242,25.29,57.79,948.16,556.45,1028.32,262.70,-668.46,0.00
5010172,25.30,57.17,948.17,556.38,1037.60,218.26,-628.42,0.00
5067173,25.29,56.89,948.16,556.52,854.00,121.58,-496.58,0.00
5124277,25.30,57.16,948.23,555.90,812.50,269.04,-535.64,0.00
5181810,25.30,57.33,948.20,556.14,731.45,376.95,-635.74,0.00
5240356,25.29,57.31,948.19,556.21,709.96,473.63,-608.40,0.00
5298765,25.29,57.23,948.19,556.21,641.60,437.99,-628.42,0.00
5357443,25.29,57.23,948.19,556.21,685.55,437.50,-899.90,0.00
5416398,25.29,57.05,948.13,556.76,605.47,277.34,-751.46,0.00
5470823,25.31,56.98,948.19,556.24,613.77,284.18,-725.10,0.00
5523954,25.30,57.03,948.17,556.38,551.27,254.39,-686.04,0.00
5575583,25.29,57.43,948.16,556.45,587.89,277.83,-816.41,0.00
5628301,25.29,57.00,948.22,555.97,509.28,329.59,-738.77,0.00
5682308,25.30,56.98,948.18,556.31,535.64,318.85,-794.43,0.00
5736360,25.29,57.54,948.13,556.76,432.62,282.71,-642.09,0.00
5794926,25.29,57.04,948.16,556.45,498.54,236.33,-758.30,0.00
5850212,25.29,57.57,948.16,556.52,393.07,343.26,-309.08,0.00
5905674,25.28,56.90,948.18,556.35,503.91,533.20,-499.51,0.00
5961221,25.29,56.47,948.16,556.52,409.67,776.37,-1155.76,0.00
6019539,25.29,56.86,948.22,555.97,593.75,473.63,-601.07,0.00
6071171,25.28,56.90,948.09,557.07,657.71,594.73,-682.13,0.00
6122828,25.29,56.92,948.18,557.00,629.39,529.79,-733.89,0.00
6174562,25.29,56.44,948.11,555.50,528.32,566.41,-869.63,0.00
6230642,25.29,56.25,948.16,556.45,747.07,478.52,-552.25,0.00
6284703,25.29,56.42,948.11,556.93,658.69,409.67,-333.98,0.00
6338925,25.30,57.11,948.13,556.79,543.46,684.57,-566.41,0.00
6393270,25.30,55.91,948.20,556.14,582.52,437.01,-738.28,0.00
6453821,25.30,56.43,948.20,556.14,436.04,385.74,-737.79,0.00
6509477,25.30,56.29,948.18,556.31,412.60,409.18,-793.46,0.00
6565177,25.30,56.14,948.12,556.86,321.29,481.93,-813.48,0.00
6621510,25.29,56.61,948.19,556.21,69.34,615.72,-881.84,0.00
6680777,25.29,56.44,948.18,556.28,126.46,385.74,-871.09,0.00
6732282,25.29,55.98,948.07,557.24,98.14,269.53,-911.13,0.00
6783856,25.28,56.32,948.15,556.59,37.11,325.20,-931.64,0.00
6835512,25.28,55.73,948.15,556.59,-17.09,417.48,-889.16,0.00
6889640,25.28,56.05,948.23,555.87,1.46,402.34,-910.64,0.00
6943635,25.28,56.32,948.18,557.07,32.23,329.10,-936.04,0.00
6998165,25.28,56.52,948.15,556.59,24.90,365.72,-921.39,0.00
7052377,25.28,55.99,948.18,556.35,-50.29,430.66,-910.64,0.00
7107666,25.28,56.14,948.14,556.66,-31.74,432.62,-957.03,0.00
7168579,25.29,55.98,948.18,556.28,-0.49,405.27,-960.94,0.00
7224689,25.29,55.58,948.18,556.28,-19.04,369.14,-881.35,0.00
7280991,25.29,55.35,948.16,556.45,70.31,437.50,-872.56,0.00
7332970,25.29,55.78,948.16,556.45,129.39,491.21,-752.93,0.00
7384607,25.28,55.37,948.19,556.18,79.59,695.31,-784.18,0.00
7436402,25.28,55.96,948.18,556.35,69.34,576.17,-698.24,0.00
7489612,25.28,55.67,948.14,556.66,92.29,687.99,-707.03,0.00
7543761,25.28,55.99,948.20,556.11,66.41,680.18,-751.46,0.00
7602384,25.26,55.57,948.15,556.56,325.68,537.11,-823.24,0.00
7656909,25.29,55.68,948.16,556.52,190.92,542.97,-699.71,0.00
7712199,25.30,55.72,948.17,556.14,360.35,572.27,-799.80,0.00
7767636,25.28,55.98,948.15,556.59,335.94,524.41,-858.89,0.00
7823134,25.28,55.26,948.15,556.59,307.13,479.98,-832.03,0.00
7881464,25.27,55.66,948.16,556.49,391.11,476.56,-739.26,0.00
7933365,25.28,55.43,948.15,556.59,335.94,496.58,-812.50,0.00
7985044,25.28,56.08,948.15,556.59,297.36,535.64,-744.63,0.00
8039775,25.27,55.83,948.13,556.73,332.52,474.61,-771.97,0.00
8092464,25.29,55.89,948.16,556.45,272.46,621.58,-759.77,0.00
8146332,25.27,55.76,948.16,556.49,330.57,642.09,-737.79,0.00
8200292,25.28,55.76,948.18,556.35,401.37,467.29,-705.57,0.00
8254344,25.28,55.13,948.14,556.66,295.41,595.21,-701.17,0.00
8308949,25.27,55.57,948.13,556.73,326.66,580.08,-701.17,0.00
