time_us,temp_C,hum_pct,press_hPa,altitude_m,accelX,accelY,accelZ,voltage_V
4385342,24.28,59.40,948.13,556.74,834.96,-0.49,572.27,0.00
4447257,24.26,59.90,948.13,556.78,833.50,-6.84,571.78,0.00
4505645,24.27,59.40,948.13,556.71,843.26,-18.07,561.52,0.00
4564013,24.27,59.83,948.13,556.24,841.31,-14.65,572.27,0.00
4623178,24.28,59.55,948.18,556.81,845.70,-22.95,573.73,0.00
4677690,24.28,59.43,948.23,555.86,827.64,-13.18,567.38,0.00
4731897,24.28,59.66,948.15,556.57,859.86,-12.21,567.38,0.00
4786710,24.28,59.29,948.21,556.03,832.52,-9.77,572.27,0.00
4847838,24.29,59.69,948.17,556.36,842.77,3.42,566.41,0.00
4904932,24.29,59.87,948.19,556.67,826.17,-24.41,561.04,0.00
4961854,24.28,59.39,948.13,556.74,778.81,-35.64,532.71,0.00
5016255,24.28,59.48,948.10,556.81,934.08,43.46,358.89,0.00
5071571,24.28,59.04,948.10,556.98,637.70,-12.70,526.37,0.00
5127009,24.30,59.16,948.22,556.46,453.12,127.93,872.56,0.00
5182512,24.30,59.76,948.10,557.01,143.07,762.21,912.11,0.00
5240812,24.28,60.31,948.13,556.74,520.02,334.96,809.57,0.00
5295362,24.29,59.60,948.12,556.84,656.74,197.27,869.63,0.00
5346822,24.30,59.77,948.18,556.29,476.07,394.53,810.06,0.00
5398409,24.30,59.93,948.13,556.77,395.02,388.18,705.08,0.00
5451088,24.30,59.84,948.13,556.77,298.34,458.50,602.54,0.00
5505020,24.29,59.60,948.15,556.60,1365.23,103.03,574.22,0.00
5559109,24.30,59.86,948.13,556.77,-4.39,221.68,854.00,0.00
5613774,24.30,59.47,948.07,556.77,371.09,504.88,928.71,0.00
5668808,24.30,59.53,948.10,557.01,183.59,329.10,889.16,0.00
5724350,24.29,59.47,948.07,557.31,330.57,521.48,1179.69,0.00
5785083,24.30,59.73,948.10,557.01,203.12,536.62,969.73,0.00
5843478,24.29,59.84,948.09,557.08,170.90,506.84,954.10,0.00
5894951,24.31,59.84,948.09,557.11,202.15,617.68,628.91,0.00
5946424,24.30,59.89,948.16,556.77,302.25,780.76,287.60,0.00
5997952,24.30,59.86,948.10,557.01,336.43,893.55,-30.27,0.00
6049650,24.31,59.70,948.18,556.32,228.52,856.93,-400.39,0.00
6103503,24.30,59.97,948.11,556.94,279.30,834.47,-154.30,0.00
6157512,24.32,60.14,948.13,556.73,233.89,759.77,-648.93,0.00
6216113,24.30,59.27,948.13,556.77,149.90,773.93,-674.80,0.00
6270893,24.30,59.41,948.16,556.29,14.16,802.73,-769.04,0.00
6326433,24.30,59.59,948.14,556.70,23.44,711.43,-678.22,0.00
6382166,24.31,59.69,948.20,556.63,-67.87,701.17,-685.06,0.00
6440160,24.30,59.63,948.11,556.94,-96.68,677.73,-695.31,0.00
6496637,24.31,59.87,948.15,556.56,-126.95,684.08,-649.41,0.00
6548354,24.31,59.43,948.18,556.32,-162.60,654.30,-666.50,0.00
6600018,24.31,59.55,948.15,556.56,-137.70,696.29,-667.97,0.00
6654976,24.32,59.69,948.20,557.13,-163.57,735.84,-702.15,0.00
6709328,24.32,59.68,948.16,556.49,-622.56,420.90,-965.33,0.00
