time_us,temp_C,hum_pct,press_hPa,altitude_m,accelX,accelY,accelZ,voltage_V
4833409,23.76,58.21,948.12,556.82,960.45,-12.21,335.94,0.00
4893933,23.75,57.58,948.19,556.25,954.10,-22.95,338.87,0.00
4951375,23.75,58.10,948.16,556.48,953.61,-12.70,332.52,0.00
5008568,23.76,58.02,948.18,556.35,959.96,-12.21,323.73,0.00
5066166,23.75,57.64,948.17,556.41,956.05,-14.16,330.08,0.00
5125014,23.76,57.94,948.24,555.80,916.99,-17.58,339.36,0.00
5183613,23.76,58.14,948.24,555.80,897.95,-57.62,350.59,0.00
5242274,23.76,58.22,948.12,556.82,750.98,-95.21,324.22,0.00
5308155,23.77,58.57,948.20,556.13,90.82,-97.17,254.39,0.00
5412751,23.76,58.02,948.15,556.58,160.16,107.91,-162.60,0.00
5467435,23.75,58.52,948.20,556.18,830.08,230.47,-563.48,0.00
5519402,23.76,58.14,948.16,556.51,1084.96,228.03,-833.98,0.00
5572281,23.75,58.50,948.25,555.70,1999.94,362.79,-618.65,0.00
5626610,23.75,58.13,948.14,556.65,1999.94,210.94,-523.44,0.00
5680700,23.76,58.11,948.21,556.04,1999.94,-67.38,-450.20,0.00
5734866,23.76,57.90,948.15,556.58,1999.94,108.89,-715.33,0.00
5794549,23.76,58.27,948.12,556.82,1999.94,1204.10,-1196.78,0.00
5849957,23.75,58.11,947.98,558.08,1999.94,1476.07,-1620.12,0.00
5905483,23.75,58.02,947.95,558.32,-44.43,156.25,-146.00,0.00
5963850,23.75,58.06,947.92,558.63,51.76,85.45,-108.89,0.00
6015440,23.75,58.53,947.92,558.63,124.51,71.78,-83.98,0.00
6067278,23.76,57.95,947.97,558.18,153.32,107.42,-96.68,0.00
6118828,23.76,58.68,948.02,557.70,144.53,142.09,-95.70,0.00
6170435,23.76,57.93,947.91,558.65,147.95,150.39,-78.61,0.00
6228519,23.75,58.28,947.92,558.56,129.39,172.36,-63.48,0.00
6282714,23.73,58.09,947.93,558.53,119.63,182.13,-32.23,0.00
6336962,23.75,57.63,947.92,558.56,101.07,189.94,4.88,0.00
6392026,23.75,57.77,947.89,558.86,92.77,194.34,35.16,0.00
6453369,23.75,57.70,947.95,558.32,68.36,198.24,39.55,0.00
6509123,23.74,57.55,947.91,558.70,59.57,203.61,65.92,0.00
6564851,23.75,57.54,947.92,558.56,46.39,216.80,99.12,0.00
6621651,23.75,57.94,947.95,558.32,13.18,215.82,110.35,0.00
6673150,23.74,57.91,947.91,558.70,-5.37,228.03,125.00,0.00
6728036,23.74,57.64,947.91,558.70,-26.86,208.50,124.02,0.00
6779640,23.74,57.17,947.88,558.93,-26.37,174.32,129.88,0.00
6833517,23.73,57.81,947.93,558.53,-20.51,116.21,134.77,0.00
6887989,23.73,57.55,948.04,557.58,-1.46,88.38,126.46,0.00
6942162,23.74,57.79,947.94,558.46,43.95,43.46,141.11,0.00
6996542,23.75,57.18,948.02,557.67,74.22,16.60,172.36,0.00
7051959,23.74,57.38,948.02,557.74,1999.94,-2000.00,-1187.99,0.00
7107595,23.75,57.14,948.16,556.48,1999.94,-330.08,75.68,0.00
7168835,23.75,57.04,948.11,556.89,1999.94,-466.31,-770.51,0.00
7225360,23.74,57.30,948.10,557.03,1999.94,-633.30,-227.05,0.00
7277064,23.75,56.94,948.17,556.41,1999.94,-519.04,-295.41,0.00
7328741,23.76,56.83,948.15,556.58,1999.94,-300.29,-265.62,0.00
7380510,23.75,57.12,948.14,556.65,1543.46,-326.17,-297.36,0.00
7433322,23.75,56.50,948.13,556.72,1262.70,-420.90,-44.43,0.00
7487738,23.73,57.03,948.14,556.62,1096.19,-275.88,-171.39,0.00
7541813,23.75,56.61,948.20,556.18,874.02,-338.87,-146.48,0.00
7600781,23.75,57.13,948.17,556.41,719.24,-285.64,-236.33,0.00
7656405,23.75,57.35,948.11,556.96,709.47,-340.33,-254.88,0.00
7711965,23.75,57.03,948.11,556.96,695.80,-425.78,-142.58,0.00
