time_us,temp_C,hum_pct,press_hPa,altitude_m,accelX,accelY,accelZ,voltage_V
4687337,23.17,54.88,948.18,556.33,137.70,-49.80,1011.23,0.00
4745622,23.16,54.74,948.14,556.87,139.65,-54.69,1010.74,0.00
4800624,23.16,55.32,948.17,556.40,151.37,-45.90,1009.77,0.00
4855141,23.16,54.88,948.16,556.47,145.51,-50.78,1010.74,0.00
4912217,23.17,54.61,948.15,556.57,150.39,-63.96,1001.46,0.00
4969125,23.18,55.37,948.14,556.66,133.30,-46.88,1011.72,0.00
5026165,23.17,55.24,948.15,556.57,146.48,-36.13,1006.84,0.00
5083337,23.18,54.89,948.12,556.83,160.16,-46.39,1005.86,0.00
5148337,23.17,54.93,948.10,557.04,147.95,-50.78,1005.86,0.00
5207269,23.16,54.75,948.12,556.87,147.46,-45.90,1021.00,0.00
5265967,23.16,55.58,948.05,557.18,145.02,-66.41,1011.23,0.00
5322469,23.17,55.09,948.12,556.80,146.00,-36.13,1022.46,0.00
5373994,23.17,55.56,948.18,556.33,140.62,-38.57,1001.95,0.00
5425471,23.18,55.00,948.17,556.42,139.65,-45.41,1005.37,0.00
5477098,23.17,55.09,948.15,556.57,133.30,-50.78,1022.46,0.00
5529826,23.16,55.00,948.20,556.16,153.81,-53.71,1010.25,0.00
5588125,23.18,55.27,948.14,556.66,142.58,-48.34,990.72,0.00
5642658,23.17,55.02,948.11,556.97,153.32,-53.71,1015.14,0.00
5696860,23.18,55.16,948.14,556.66,148.93,-53.22,1006.84,0.00
5752191,23.17,54.99,948.13,556.49,140.62,-56.15,1012.21,0.00
5807653,23.16,55.24,948.17,556.40,137.21,-53.71,1008.30,0.00
5863400,23.17,55.35,948.12,556.80,149.90,-55.66,1011.23,0.00
5921856,23.17,54.76,948.18,556.33,142.09,-52.25,1007.81,0.00
5973580,23.17,55.48,948.13,556.49,147.46,-46.39,1009.77,0.00
6028540,23.18,54.91,948.14,556.66,147.95,-57.13,997.07,0.00
6080324,23.17,55.29,948.16,556.49,145.51,-41.02,1012.21,0.00
6133204,23.17,54.98,948.16,556.49,139.65,-54.69,1011.72,0.00
6187365,23.17,55.51,948.13,556.73,134.28,-53.22,1002.93,0.00
6241610,23.18,54.83,948.20,556.12,135.74,-39.06,1011.23,0.00
6295955,23.17,55.27,948.13,556.73,145.51,-45.41,1013.67,0.00
6350824,23.17,55.17,948.13,556.73,140.14,-55.66,1011.23,0.00
6406432,23.18,55.06,948.12,556.83,149.41,-48.83,1021.00,0.00
6469788,23.18,54.88,948.12,556.83,152.34,-52.25,1018.55,0.00
6528269,23.18,55.34,948.11,556.90,139.65,-55.66,997.56,0.00
6580333,23.18,54.66,948.12,556.83,137.21,-47.85,1003.91,0.00
6632016,23.19,55.28,948.16,556.52,156.74,-54.20,1006.84,0.00
6683724,23.18,55.05,948.14,556.66,143.07,-50.78,998.54,0.00
6736223,23.18,55.57,948.12,556.83,139.16,-51.76,1014.65,0.00
6790259,23.17,55.32,948.21,556.02,143.55,-52.25,1013.18,0.00
6844883,23.18,55.24,948.09,557.07,146.00,-47.85,1000.00,0.00
6899104,23.18,55.34,948.14,556.66,141.60,-63.48,1024.90,0.00
6958174,23.17,55.16,948.13,556.73,121.09,-42.97,1011.23,0.00
7013972,23.18,54.88,948.18,556.35,146.97,-41.50,1014.16,0.00
7069707,23.18,55.50,948.18,556.35,139.65,-52.25,1018.55,0.00
7125327,23.18,54.92,948.15,556.59,137.21,-58.59,1022.46,0.00
7181936,23.19,55.58,948.11,556.93,156.25,-48.34,1015.14,0.00
7233622,23.18,55.16,948.07,557.30,141.60,-45.90,1008.30,0.00
7285274,23.18,55.30,948.07,557.30,140.62,-55.66,1004.88,0.00
7337398,23.19,54.95,948.14,556.69,143.07,-52.25,1012.70,0.00
7394638,23.18,55.07,948.15,556.59,148.44,-46.39,1012.70,0.00
7448803,23.19,55.08,948.16,556.45,138.18,-46.88,1011.23,0.00
7503632,23.19,55.22,948.11,556.93,132.32,-55.66,1010.25,0.00
7557973,23.20,54.59,948.17,556.38,159.67,-51.27,1009.77,0.00
7613410,23.20,54.92,948.14,556.62,134.28,-47.36,1001.95,0.00
7668972,23.20,55.36,948.20,556.14,140.14,-61.04,1006.84,0.00
7724509,23.18,55.05,948.15,556.59,131.84,-39.06,1006.35,0.00
