time_us,temp_C,hum_pct,press_hPa,altitude_m,accelX,accelY,accelZ,voltage_V
4345730,23.46,58.68,948.18,556.30,151.37,694.34,-663.09,0.00
4403697,23.45,58.76,948.17,556.44,144.04,648.44,-676.76,0.00
4458291,23.46,58.70,948.05,557.49,88.87,648.44,-728.52,0.00
4513846,23.47,58.69,948.13,556.71,87.89,681.64,-728.03,0.00
4570777,23.46,59.10,948.10,557.02,144.53,670.41,-718.75,0.00
4627743,23.47,58.63,948.11,556.95,77.64,665.04,-708.01,0.00
4685194,23.47,59.03,948.14,556.63,125.49,729.00,-686.04,0.00
4742719,23.47,58.97,948.22,555.92,96.19,689.45,-709.96,0.00
4807991,23.47,58.46,948.09,557.11,112.79,660.64,-747.56,0.00
4866523,23.47,58.87,948.17,556.40,135.74,664.55,-715.33,0.00
4927889,23.48,58.80,948.19,556.26,103.52,702.64,-676.76,0.00
4979699,23.46,58.86,948.15,556.54,137.70,681.64,-767.09,0.00
5031277,23.47,58.99,948.08,557.18,180.18,700.68,-744.63,0.00
5083096,23.47,59.15,948.17,556.40,132.32,680.66,-727.05,0.00
5135093,23.47,58.54,948.20,556.16,172.36,695.31,-679.20,0.00
5189158,23.48,59.10,948.18,556.33,181.15,691.41,-664.06,0.00
5248661,23.45,59.13,948.08,557.22,138.67,686.52,-693.36,0.00
5303253,23.48,59.18,948.10,556.97,171.39,717.77,-673.83,0.00
5358134,23.48,59.38,948.10,557.04,148.44,690.43,-700.68,0.00
5413699,23.48,58.22,948.19,556.26,149.90,692.38,-710.94,0.00
5469356,23.47,58.99,948.17,556.40,147.95,693.85,-700.68,0.00
5525107,23.48,58.82,948.12,556.80,153.32,706.54,-696.29,0.00
5581220,23.48,59.12,948.10,557.04,178.22,723.63,-659.18,0.00
5632864,23.48,58.80,948.16,556.49,156.74,700.20,-631.35,0.00
5687475,23.48,59.23,948.16,556.49,149.90,708.01,-666.02,0.00
5739107,23.48,59.06,948.13,556.73,137.70,714.84,-648.93,0.00
5792961,23.50,59.06,948.17,556.35,193.85,710.45,-674.32,0.00
5846975,23.48,59.12,948.15,556.56,178.22,704.59,-670.90,0.00
5901093,23.49,58.83,948.11,556.90,188.96,711.43,-696.78,0.00
5955253,23.50,58.98,948.17,556.35,187.50,705.57,-652.83,0.00
6010856,23.50,59.43,948.16,556.52,179.20,719.24,-667.97,0.00
6066327,23.50,59.08,948.15,556.59,211.43,702.64,-697.75,0.00
