time_us,temp_C,hum_pct,press_hPa,altitude_m,accelX,accelY,accelZ,voltage_V
4305688,23.37,56.72,948.11,556.92,-8.79,-3.42,992.68,0.00
4367846,23.36,57.27,948.08,557.23,-11.23,-0.49,1011.72,0.00
4429354,23.37,56.36,948.09,557.09,11.72,-10.25,998.05,0.00
4484072,23.38,56.73,948.13,556.78,26.86,-13.18,1080.08,0.00
4538570,23.38,56.84,948.13,556.78,70.80,4.39,969.73,0.00
4593122,23.37,56.61,948.11,556.92,23.93,-26.86,1023.44,0.00
4648094,23.38,57.24,948.13,556.78,0.98,32.71,1032.71,0.00
4704951,23.37,56.63,948.09,557.09,-27.83,33.69,1021.97,0.00
4768178,23.37,56.83,948.17,556.37,-29.30,42.97,987.30,0.00
4825524,23.37,56.62,948.15,556.61,-35.64,15.63,868.65,0.00
4883196,23.37,56.68,948.08,557.16,-33.20,7.81,773.93,0.00
4938965,23.37,57.15,948.15,556.61,-46.39,31.74,846.19,0.00
4994477,23.37,57.02,948.09,557.32,-107.42,48.83,923.34,0.00
5050096,23.37,56.44,948.11,556.92,-28.32,20.02,725.10,0.00
5107171,23.36,57.02,948.08,557.23,-27.34,35.64,627.44,0.00
5158859,23.37,56.63,948.09,557.09,-115.23,45.41,579.10,0.00
5214112,23.37,56.85,948.09,557.09,-136.23,53.71,914.06,0.00
5265921,23.37,57.03,948.09,557.09,-30.76,42.48,1529.30,0.00
5319963,23.37,56.64,948.12,556.85,-51.76,21.48,1999.94,0.00
5374148,23.37,56.87,948.14,556.68,119.63,-9.77,1999.94,0.00
5428432,23.37,56.79,948.12,556.85,139.16,-179.20,1999.94,0.00
5482659,23.38,57.04,948.10,557.02,-556.15,-12.21,1999.94,0.00
5537988,23.38,57.18,948.11,556.95,443.85,288.57,1999.94,0.00
5593338,23.38,56.95,947.94,558.44,-541.99,29.30,57.13,0.00
5649395,23.38,56.78,947.95,558.37,34.18,-15.63,-33.69,0.00
5710709,23.38,56.55,947.94,558.44,26.86,-22.46,-15.14,0.00
5762284,23.38,56.76,947.94,559.16,25.88,-12.70,-13.18,0.00
5813808,23.38,56.77,947.86,558.92,23.44,3.91,14.16,0.00
5865484,23.38,56.58,947.83,559.39,11.72,-1.95,15.63,0.00
5968232,23.38,56.91,947.83,559.39,20.02,2.44,8.79,0.00
6022619,23.38,57.05,947.84,559.32,6.84,3.91,9.28,0.00
6076609,23.38,56.93,947.86,559.16,6.84,0.00,23.93,0.00
6130749,23.38,56.91,947.78,559.80,8.79,-5.86,15.14,0.00
6185377,23.38,56.99,947.72,560.35,9.28,-6.35,13.18,0.00
6240784,23.38,56.85,947.80,559.63,-3.42,-18.55,23.44,0.00
6296261,23.39,57.06,947.74,560.21,4.39,-1.46,19.53,0.00
6351848,23.38,56.68,947.76,560.04,11.72,-19.53,13.18,0.00
6408219,23.39,56.99,947.76,559.97,0.49,-12.70,23.44,0.00
6462659,23.37,56.90,947.82,559.46,-0.49,-15.14,26.86,0.00
6514285,23.38,56.92,947.83,559.39,4.39,-13.18,22.95,0.00
6565941,23.38,56.88,947.78,559.80,16.11,-11.72,25.88,0.00
6618833,23.38,56.95,947.77,559.87,14.16,-6.35,34.67,0.00
6677343,23.38,57.44,947.83,559.39,3.91,-14.16,30.27,0.00
6731903,23.37,57.16,947.88,558.99,14.65,-14.16,39.06,0.00
6786265,23.39,56.70,947.91,558.71,13.18,-30.76,23.93,0.00
6841700,23.38,56.75,947.95,558.37,28.81,-24.90,23.93,0.00
6897886,23.38,57.16,947.92,558.61,25.88,-36.13,15.63,0.00
6953601,23.38,56.90,947.92,558.61,60.55,-44.92,-21.97,0.00
7012093,23.37,56.87,947.96,558.28,101.07,-340.33,1999.94,0.00
7063609,23.37,56.52,947.96,558.28,1999.94,404.30,1024.41,0.00
7115084,23.38,57.08,948.05,557.42,1999.94,-1298.83,-134.77,0.00
7170223,23.38,56.77,948.08,557.18,1999.94,-51.27,1354.49,0.00
7223264,23.39,56.50,948.14,556.64,1578.13,-1080.08,1191.89,0.00
7277347,23.39,56.73,948.12,556.88,1999.94,-1027.34,448.73,0.00
7331587,23.38,57.31,948.11,556.95,989.26,-1214.36,247.07,0.00
7385857,23.37,56.61,948.09,557.09,847.66,-1185.06,271.00,0.00
7440709,23.39,57.00,948.12,556.88,825.68,-693.85,357.91,0.00
7496333,23.38,56.57,948.10,557.02,599.61,-764.65,280.27,0.00
7551878,23.39,56.99,948.14,556.64,579.10,-592.77,301.76,0.00
7615572,23.38,56.53,948.13,556.78,476.07,-648.44,418.95,0.00
7667395,23.38,57.16,948.13,556.78,530.76,-742.68,420.90,0.00
7718899,23.38,56.60,948.07,557.25,648.44,-965.33,309.57,0.00
7770809,23.39,57.10,948.17,556.40,667.48,-953.61,252.44,0.00
7822609,23.39,56.97,948.10,557.04,749.51,-813.96,394.53,0.00
7876467,23.39,57.26,948.12,556.88,729.49,-695.80,255.37,0.00
7930441,23.39,56.67,948.12,556.88,899.41,-379.88,488.77,0.00
7984500,23.38,57.18,948.10,557.02,513.18,-403.32,571.78,0.00
8043386,23.38,57.17,948.10,557.02,649.90,34.18,1132.32,0.00
8099214,23.38,57.34,948.11,557.18,209.47,-85.94,637.21,0.00
8154754,23.38,56.68,948.10,557.02,454.10,200.20,774.41,0.00
8210321,23.39,56.96,948.09,556.88,-11.72,-23.44,628.91,0.00
8266543,23.38,56.81,948.11,556.95,54.20,-10.74,482.42,0.00
8317919,23.38,56.91,948.08,557.18,546.39,-140.62,458.50,0.00
8369329,23.39,56.48,948.12,556.88,620.61,541.02,583.98,0.00
8420851,23.40,57.05,948.10,556.97,288.57,1023.44,596.68,0.00
8473483,23.39,56.97,948.06,557.35,7.32,1231.45,693.36,0.00
8531921,23.40,56.95,948.11,556.90,-334.47,1111.33,472.17,0.00
8586027,23.39,57.09,948.18,556.33,-269.53,974.61,565.43,0.00
8640166,23.39,56.83,948.12,556.81,-386.72,1006.84,580.57,0.00
8695482,23.39,56.64,948.09,557.11,-443.36,934.08,583.01,0.00
8750878,23.38,56.99,948.13,556.71,-400.88,430.66,662.60,0.00
8806409,23.38,57.15,948.13,556.78,-589.36,221.68,584.96,0.00
8865084,23.39,56.49,948.10,557.04,-614.26,130.86,729.00,0.00
8917020,23.39,57.05,948.12,556.81,-706.54,160.64,644.04,0.00
8971847,23.39,57.30,948.10,557.04,-772.46,84.96,1447.75,0.00
9023637,23.39,56.82,948.10,557.04,-732.42,426.76,807.62,0.00
9076500,23.39,57.15,948.15,556.57,-750.00,-7.32,830.08,0.00
9130637,23.39,56.85,948.06,557.35,-660.16,-655.76,646.00,0.00
9184845,23.38,56.78,948.08,557.18,-118.65,-108.89,651.37,0.00
9239497,23.38,56.41,948.10,557.02,-32.71,316.89,755.86,0.00
9296497,23.39,56.36,948.09,557.11,-795.90,-348.14,744.63,0.00
9352225,23.30,56.96,947.95,558.31,-583.01,-1208.50,477.05,0.00
9413001,23.39,57.23,948.20,556.16,-462.89,-983.89,451.17,0.00
9471990,23.38,56.91,948.05,557.18,141.60,-906.25,621.58,0.00
9523520,23.39,57.23,948.09,557.11,101.07,-703.61,761.23,0.00
9575301,23.39,56.67,948.06,557.35,389.16,-521.97,888.18,0.00
9626846,23.39,56.66,948.06,557.35,548.34,-706.54,736.33,0.00
9678633,23.39,57.14,948.10,557.04,148.44,-464.36,834.96,0.00
9732965,23.35,56.78,948.11,556.89,512.70,-231.93,962.89,0.00
9787091,23.39,56.98,948.06,557.35,388.67,-238.77,784.18,0.00
9846125,23.40,57.13,948.09,557.14,368.65,-249.02,788.09,0.00
9901058,23.40,57.12,948.09,557.14,646.97,125.49,1005.86,0.00
9956647,23.41,56.52,948.18,556.29,817.87,-1.46,772.95,0.00
10012633,23.38,57.08,948.03,557.66,269.04,54.69,567.87,0.00
10068546,23.38,56.81,948.08,557.18,373.05,-409.67,890.14,0.00
10124853,23.39,56.97,948.12,556.88,471.68,-30.27,926.76,0.00
10176580,23.39,56.64,948.10,557.04,497.56,-221.19,725.59,0.00
10228567,23.39,57.06,948.12,556.88,502.44,-180.66,924.80,0.00
10280276,23.39,56.83,948.07,557.28,766.60,302.25,911.62,0.00
10333214,23.41,56.57,948.09,557.07,188.48,-86.91,889.16,0.00
10387201,23.40,57.00,948.14,556.67,757.32,-227.05,671.87,0.00
10441218,23.40,56.88,948.09,557.14,1034.18,345.70,854.00,0.00
10495862,23.37,56.68,948.09,557.56,512.21,483.40,858.89,0.00
10550534,23.39,56.68,948.12,556.81,624.51,372.56,788.09,0.00
10605929,23.39,56.56,948.12,556.88,498.54,313.48,686.52,0.00
10661434,23.39,57.02,948.12,556.81,647.95,378.42,860.84,0.00
10717007,23.40,56.38,948.14,556.67,601.07,313.96,765.62,0.00
10776355,23.39,56.93,948.18,556.33,624.51,378.91,795.90,0.00
10827830,23.39,56.90,948.09,557.11,444.34,373.05,823.24,0.00
10879366,23.41,56.89,948.17,556.36,428.22,371.58,784.18,0.00
10931367,23.40,57.11,948.11,556.90,329.10,566.41,845.70,0.00
10985230,23.41,56.59,948.16,556.53,712.40,244.63,931.64,0.00
11039205,23.40,56.72,948.11,556.90,585.45,862.79,918.46,0.00
11093301,23.39,56.42,948.12,556.81,75.20,639.16,747.07,0.00
11147485,23.40,56.93,948.14,556.67,401.37,737.79,682.62,0.00
11207635,23.40,57.04,948.11,556.90,364.75,485.84,841.80,0.00
